Cust_id,age,job,marital,education,default,housing,loan,contact
1,56,housemaid,married,basic.4y,no,no,no,telephone
2,57,services,married,high.school,unknown,no,no,telephone
4,40,admin.,married,basic.6y,no,no,no,telephone
5,56,services,married,high.school,no,no,yes,telephone
8,41,blue-collar,married,unknown,unknown,no,no,telephone
9,24,technician,single,professional.course,no,yes,no,telephone
11,41,blue-collar,married,unknown,unknown,no,no,telephone
12,25,services,single,high.school,no,yes,no,telephone
13,29,blue-collar,single,high.school,no,no,yes,telephone
14,57,housemaid,divorced,basic.4y,no,yes,no,telephone
18,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone
19,50,blue-collar,married,basic.9y,no,yes,yes,telephone
20,39,management,single,basic.9y,unknown,no,no,telephone
22,55,blue-collar,married,basic.4y,unknown,yes,no,telephone
23,55,retired,single,high.school,no,yes,no,telephone
25,37,admin.,married,high.school,no,yes,no,telephone
26,35,technician,married,university.degree,no,no,yes,telephone
27,59,technician,married,unknown,no,yes,no,telephone
29,54,technician,single,university.degree,unknown,no,no,telephone
30,55,unknown,married,university.degree,unknown,unknown,unknown,telephone
31,46,admin.,married,unknown,no,no,no,telephone
33,49,blue-collar,married,unknown,no,no,no,telephone
34,54,management,married,basic.4y,unknown,yes,no,telephone
35,54,blue-collar,divorced,basic.4y,no,no,no,telephone
37,34,services,married,high.school,no,no,no,telephone
38,52,technician,married,basic.9y,no,yes,no,telephone
39,41,admin.,married,university.degree,no,yes,no,telephone
40,56,technician,married,basic.4y,no,yes,no,telephone
41,58,management,unknown,university.degree,no,yes,no,telephone
42,32,entrepreneur,married,high.school,no,yes,no,telephone
43,38,admin.,single,professional.course,no,no,no,telephone
44,57,admin.,married,university.degree,no,no,yes,telephone
45,44,admin.,married,university.degree,unknown,yes,no,telephone
46,42,technician,single,professional.course,unknown,no,no,telephone
47,57,admin.,married,university.degree,no,yes,yes,telephone
48,40,blue-collar,married,basic.9y,no,no,yes,telephone
49,35,admin.,married,university.degree,no,yes,no,telephone
50,45,blue-collar,married,basic.9y,no,yes,no,telephone
51,54,admin.,married,high.school,no,no,no,telephone
52,39,housemaid,married,basic.4y,no,no,yes,telephone
53,60,admin.,married,high.school,no,no,no,telephone
54,53,admin.,single,professional.course,no,no,no,telephone
55,55,blue-collar,married,basic.4y,unknown,no,no,telephone
56,55,technician,married,professional.course,unknown,yes,no,telephone
57,50,management,married,university.degree,unknown,no,yes,telephone
58,45,services,married,high.school,unknown,yes,no,telephone
59,55,unemployed,married,professional.course,unknown,yes,yes,telephone
60,25,technician,single,university.degree,no,yes,no,telephone
61,47,entrepreneur,married,university.degree,unknown,no,no,telephone
62,51,blue-collar,married,basic.9y,no,yes,no,telephone
63,42,blue-collar,married,basic.6y,unknown,yes,no,telephone
64,42,blue-collar,married,basic.6y,unknown,no,no,telephone
65,48,admin.,married,high.school,no,no,no,telephone
66,37,admin.,married,university.degree,no,no,no,telephone
67,44,blue-collar,single,basic.9y,no,yes,no,telephone
68,33,admin.,married,unknown,no,yes,no,telephone
69,56,admin.,married,basic.9y,no,yes,no,telephone
70,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone
71,41,management,married,basic.6y,no,no,no,telephone
72,44,management,divorced,university.degree,no,yes,no,telephone
73,47,admin.,married,university.degree,unknown,yes,no,telephone
74,57,unknown,married,unknown,unknown,no,no,telephone
75,37,admin.,married,university.degree,unknown,yes,no,telephone
76,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone
77,55,technician,married,university.degree,no,no,no,telephone
78,33,services,married,high.school,unknown,yes,no,telephone
79,55,management,married,unknown,unknown,yes,no,telephone
80,42,blue-collar,married,basic.9y,unknown,no,no,telephone
81,50,blue-collar,married,basic.4y,unknown,yes,no,telephone
82,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone
83,38,admin.,married,high.school,unknown,no,no,telephone
84,49,entrepreneur,married,university.degree,unknown,yes,no,telephone
85,38,technician,single,university.degree,no,no,yes,telephone
86,31,admin.,divorced,high.school,no,no,no,telephone
87,41,management,married,basic.6y,no,no,no,telephone
88,39,admin.,married,university.degree,no,yes,yes,telephone
89,49,technician,married,basic.9y,no,no,no,telephone
90,34,admin.,married,high.school,no,yes,no,telephone
91,35,admin.,married,university.degree,no,yes,no,telephone
92,57,unknown,married,unknown,unknown,yes,no,telephone
93,60,admin.,married,unknown,unknown,no,yes,telephone
94,33,unemployed,married,basic.9y,no,no,no,telephone
95,42,blue-collar,married,basic.6y,no,no,yes,telephone
96,45,services,married,professional.course,no,yes,no,telephone
97,42,management,married,university.degree,no,no,no,telephone
98,53,admin.,divorced,university.degree,unknown,no,no,telephone
99,37,technician,single,professional.course,no,no,no,telephone
100,44,blue-collar,married,basic.6y,no,no,no,telephone
101,54,services,married,unknown,no,yes,no,telephone
102,49,blue-collar,married,basic.4y,no,no,no,telephone
103,54,services,married,unknown,no,no,no,telephone
104,52,admin.,divorced,university.degree,no,no,no,telephone
105,52,admin.,divorced,university.degree,no,no,no,telephone
106,43,services,single,high.school,unknown,no,no,telephone
