Cust_id,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
3,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
4,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
5,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
6,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
7,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
8,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
10,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
11,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
12,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
15,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
16,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
17,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
18,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
21,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
22,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
23,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
26,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,may,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
31,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,may,mon,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,may,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
44,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,may,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,may,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
52,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,may,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,may,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
60,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
61,may,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
62,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
63,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
